code postal,insee,article,ville,ARTICLE,VILLE,libelle,region,nom region,dep,nom dep,longitude,latitude,codex,metaphone
1250,1172,,Germagnat,,GERMAGNAT,GERMAGNAT,82,RHONE-ALPES,1,Ain,46.31069,5.44804,G652,KRMNT
1170,1173,,Gex,,GEX,GEX,82,RHONE-ALPES,1,Ain,46.335994,6.061129,G200,JKS
1130,1174,,Giron,,GIRON,GIRON,82,RHONE-ALPES,1,Ain,46.222587,5.774038,G650,JRN
1190,1175,,Gorrevod,,GORREVOD,GORREVOD,82,RHONE-ALPES,1,Ain,46.418428,4.93992,G613,KRFT
1260,1176,Le,Grand-Abergement,LE,GRAND-ABERGEMENT,LE GRAND ABERGEMENT,82,RHONE-ALPES,1,Ain,46.033106,5.673972,G653,KRNTPRJMNTL
1250,1177,,Grand-Corent,,GRAND-CORENT,GRAND CORENT,82,RHONE-ALPES,1,Ain,46.201951,5.4313,G653,KRNTKRNT
1290,1179,,Grièges,,GRIEGES,GRIEGES,82,RHONE-ALPES,1,Ain,46.257895,4.853505,G622,KRJS
1220,1180,,Grilly,,GRILLY,GRILLY,82,RHONE-ALPES,1,Ain,46.330167,6.1144,G640,KRL
1100,1181,,Groissiat,,GROISSIAT,GROISSIAT,82,RHONE-ALPES,1,Ain,46.221761,5.607938,G623,KRST
1680,1182,,Groslée,,GROSLEE,GROSLEE,82,RHONE-ALPES,1,Ain,45.71379,5.570169,G624,KRSL
1090,1183,,Guéreins,,GUEREINS,GUEREINS,82,RHONE-ALPES,1,Ain,46.104353,4.776236,G652,KRNS
1250,1184,,Hautecourt-Romanèche,,HAUTECOURT-ROMANECHE,HAUTECOURT ROMANECHE,82,RHONE-ALPES,1,Ain,46.159245,5.418138,H326,HTKRTRMNX
1110,1185,,Hauteville-Lompnes,,HAUTEVILLE-LOMPNES,HAUTEVILLE LOMPNES,82,RHONE-ALPES,1,Ain,45.977894,5.600384,H314,HTFLLMPNS
1110,1186,,HOSTIAS,,HOSTIAS,HOSTIAS,82,RHONE-ALPES,1,Ain,45.9011,5.53451,H232,HSXS
1260,1187,,Hotonnes,,HOTONNES,HOTONNES,82,RHONE-ALPES,1,Ain,45.996781,5.691184,H352,HTNS
1140,1188,,Illiat,,ILLIAT,ILLIAT,82,RHONE-ALPES,1,Ain,46.189624,4.888909,I430,ALT
1200,1189,,Injoux-Génissiat,,INJOUX-GENISSIAT,INJOUX GENISSIAT,82,RHONE-ALPES,1,Ain,46.052001,5.801945,I522,ANJKSJNST
1680,1190,,Innimond,,INNIMOND,INNIMOND,82,RHONE-ALPES,1,Ain,45.783454,5.571496,I555,ANMNT
1430,1191,,Izenave,,IZENAVE,IZENAVE,82,RHONE-ALPES,1,Ain,46.038255,5.524355,I251,ASNF
1580,1192,,Izernore,,IZERNORE,IZERNORE,82,RHONE-ALPES,1,Ain,46.218895,5.553955,I265,ASRNR
1300,1193,,Izieu,,IZIEU,IZIEU,82,RHONE-ALPES,1,Ain,45.651755,5.64112,I200,AS
1480,1194,,Jassans-Riottier,,JASSANS-RIOTTIER,JASSANS RIOTTIER,82,RHONE-ALPES,1,Ain,45.985905,4.756825,J252,JSNSRTR
